"Name (english)","Acronym (english)","Name (french)","Acronym (French)","Street","Postcode","Town","Country","Tel","Fax","Website","Email","Funding","Nature of organisation","President First Name","President Last Name","President Address","SG First Name","SG Last Name","SG Address","Year of foundation","Staff","Number of members","Working languages","Official languages","Committes","Geographical representation","Areas of competence","yearStatus"
"Society for Threatened Peoples International","STP (GfbV)","Société pour les Peuples Menacés – Internationale","GfbV","P.O.Box 2024","37010","Göttingen","Germany","0049 - 551-49906-0","0049-551-58028","www.gfbv.de","info@gfbv.de","Member fees, Public funding, Private donations","Association","Tilman","Zülch","P.O.Box 2024, D-37010 Göttingen","Mato","Dujmusic","P.O.Box 2024, D-37010 Göttingen","1968","1","7","German, English","","Human Rights","Austria, Germany, Italy, Switzerland, Luxembourg, Bosnia and Herzegovina, United Kingdom, USA","Human rights, Other","2005"
"SOLIDAR","-","SOLIDAR","-","Rue du Commerce, 22","1000","Brussels","Belgium","+ 32 2 500 1020","+ 32 2 500 1030","www.solidar.org","","","Association","Josef","Weidenholzer","","Conny","Reuter","","0","0","0","","","","","","0"
"Soroptimist International of Europe","SIE","Soroptimist international d'Europe","SIE","72, rte de Florissant","1206","Geneva","Switzerland","+41 22 3460880","+41 22 7890443","www.soroptimisteurope.org","siehq@soroptimisteurope.org","Private donations","Association","Ulla","Madsen","72, rte de Florissant CH-1206 Geneva Switzerland","Anne","Simon","72, rte de Florissant CH-1206 Geneva Switzerland","1930","5","34 290","English, French","English, French","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Marocco, Moldova, Monaco, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine","Democracy, Strengthening civil society, Education and Culture, Other, Environment and sustanable development, Environment protection, Health, Public Health, Human rights, Gender equality, Promotion and defence of Human Rights, Trafficking in human beings, International Co-operation, European integration, Promotion of Peace, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Intercommunity relations and integration","1983"
"SOS-Kinderdorf International","SOS-KDI","SOS-Kinderdorf International","SOS-KDI","Hermann Gmeiner Str 51, PO Box 443","6021","Innsbruck","Austria","43 512 3310 5121","43 512 3310 5085","www.sos-childrensvillages.org","info@sos-childrensvillages.org","Member fees, Public funding, Private donations","Federation","Helmut","Kutin","Hermann Gmeiner Str.51 P.O Box 443 6021 Innsbruck Austria","Richard","Pichler","Hermann Gmeiner Str.51 P.O Box 443 6021 Innsbruck Austria","1960","203","132","English","English, French, Spanish, German","Democracy, Social Cohesion and Global Challenges, Education and Culture","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Switzerland, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Georgia, Azerbaijan, Armenia, Latvia, Luxembourg, Bosnia and Herzegovina, Serbia, Iceland, Russian Federation, United Kingdom, Belarus, USA, Canada","Human rights, Economics and social rights, Children's rights, Gender equality, Democracy, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Students, Children, Family, Disabled persons, International Co-operation, Promotion of Peace, Education and Culture, Youth, Youth policy, Youth participation, Higher Educational, Strengthening civil society","2008"
"Special Olympics","SO","Special Olympics","SO","1133 19th Street NW","20036","Washington, DC","USA","+1 202 628 36 30","1 202 824 02 00","www.specialolympics.org","","Public funding, Private donations","Association","Timothy","Shriver","1133 19th Street NW, Washington, DC. 20036, USA","Janet","Froetscher","1133 19th Street NW, Washington, DC. 20036, USA","1968","189","0","English","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Canada, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Marocco, Moldova, Monaco, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, San Marino, Serbia, Slovakia, Slovenia, South Africa, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom, USA","Promotion of democratic values and education for democratic citizenship, Education and Culture, Education for Democratic Citizenship, Health, Human rights, Children's rights, Economics and social rights, Legal protection, Promotion and defence of Human Rights, Social Cohension, Children, Disabled persons, Family, Fight against poverty and social exclusion, Intercommunity relations and integration, Sport, Youth, Youth participation, Youth policy","2009"
"Standing Committee of European Doctors","CPME","Comité permanent des Médecins européens","CPME","Rue Guimard 15","1040","Brussels","Belgium","+32 2732 72 02","+ 32 2 732 73 44","www.cpme.eu","anamaria.corca@cpme.eu","","Association","Michael","Wilks","","Lisette","Tiddens-Engwirda","","1959","8","30","English/French","English/French","Democracy, Social Cohesion and Global Challenges","Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom","Health","1983"
"Stichting Birdlife Europe","*","Stichting Birdlife Europe","*","Avenue de la Toison d'Or 67","1060","Brussels","Belgium","+32 (0)2 280 08 30","+32 (0)2 230 38 02","www.birdlife.org","","Member fees, Public funding, Private donations","Association","Marco","Lambertini","Wellbrook Court, Girton Road, Cambridge, CB3 0N, UK","Angelo","Caserta","Avenue de la Toison d'or 67, 1060 Brussels, Belgium","0","15","46","English","","","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, the former Yugoslav Republic of Macedonia, Liechtenstein, Georgia, Azerbaijan, Armenia, Latvia, Luxembourg, Malta, Ukraine, Bosnia and Herzegovina, Serbia, Iceland, Andorra, United Kingdom, Belarus, Montenegro, Israel","Environment and sustanable development","0"
"Terre des Hommes International Federation","TDHIF","Terre des Hommes-Fédération Internationale","TDHFI","European Liaison Office, rue d'Edimbourg, 26","1050","Brussels","Switzerland","+32 (0)2 893 09 51","+32 (0)2 893 09 54","terredeshommes.org","tdh-europe@iftdh.org","Member fees","Federation","Raffaele","Salinari","European Liaison Office Rue d'Edimbourg, 26 1050 Brussels","Eylah","Kadjar-Hamouda","","1966","5","11","English and French","English and French","Democracy, Social Cohesion and Global Challenges, Human Rights","Belgium, Danemark, Spain, France, Germany, Hungary, Italy, Netherlands, Switzerland, Albania, Luxembourg","Human rights, International Co-operation, Education and Culture, Youth","2000"
"The Howard League for Penal Reform","HLPR","The Howard League for Penal Reform","HLPR","1 Ardleigh Road","N1 4HS","London","United Kingdom","+44 (0207249 7373","2072497788","www.howardleague.org","info@howardleague.org","Member fees, Private donations","Association","Lord Paul","Myners","","Frances","Crook","Chief Executive","1866","20","4 000","English","","Democracy, Social Cohesion and Global Challenges, Human Rights","United Kingdom","Human rights, Social Cohension, Rule of Law, Youth, Other","2000"
"The National Unions of Students in Europe / European Students Union","ESIB / ESU","Les Unions Nationales des Etudiants en Europe / European Students Union","ESIB / ESU","20, Rue de la Sablonnière","1000","Bruxelles","Belgium","+32 2 502 23 62","+32 2 706 48 26","http://www.esu-online.org/","","","Association","Rok","Primozic","","","","","0","0","0","","","","","","0"
"The Robert Schuman Institute for Europe","IRSE","Institut Robert Schuman pour l'Europe","IRSE","8, rue Robert Schumann","57160","Scy-Chazelles","France","03 87 60 10 15","03 87 60 14 71","www.institut-robert-schuman.eu","info@institut-robert-schuman.eu","Member fees, Private donations","Association","Peter","Leuprecht","","Richard","Stock","","0","0","95","français, italien, allemand, anglais","français","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bulgaria, Cyprus, Danemark, Spain, France, Germany, Ireland, Italy, Netherlands, Portugal, Switzerland, Sweden, Greece, Luxembourg, Monaco, Russian Federation, United Kingdom, Canada","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Environment and sustanable development, Youth","1987"
"Transgender Europe","TGEU","Transgender Europe","TGEU","Kiefholzstr. 2","12435","Berlin","Germany","4,93054E+11","","www.tgeu.org","tgeu@tgeu.org","Member fees, Public funding, Private donations","Association","Alecs","Recher","","Arja","Voipio","","2007","6","81","English","","Education and Culture","Austria, Belgium, Croatia, Czech Republic, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Armenia, Luxembourg, Malta, Ukraine, Serbia, Russian Federation, United Kingdom, Israel","Human rights, Gender equality, Social Cohension, Fight against violence, Rights of Minorities","0"
"Transparency International","TI","Transparency International","TI","Alt-Moabit 96","10559","Berlin","Germany","+49-30-3438 20-0","+49-30-3470 3912","www.transparency.org","","Public funding, Private donations","Association","Labelle","Huguette","TI Secretariat Alt-Moabit 96 10559 B","Cobus","de Swardt","TI Secretariat Alt-Moabit 96 10559 B","1993","80","0","English","English","Democracy, Social Cohesion and Global Challenges, Human Rights","Albania, Armenia, Austria, Azerbaijan, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Moldova, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom, USA","Democracy, Human rights, Rule of Law, Fight against corruption","2004"
"Union to promote Culture And Professional advancement in Europe","UCAPE","Union pour la Culture et l’Avenir Professionnel en Europe","UCAPE","13 Allée des Crocus","6120","NALINNES","Belgium","00 32 (0)71 21 56 85","00 32 (0)71 21 56 85","www.ucape.eu","","","Association","JACQUES","DANDOIS","13 ALLEE DES CROCUS 6120 NALINNES BELGIQUE","MARIE-HENRIETTE","GAZENGEL","13 RUE DES VANNEAUX 49070 BEAUCOUZE FRANCE","1993","0","40","French","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Belgium, Canada, Czech Republic, France, Germany, Hungary, Italy, Slovakia, Slovenia, Spain, Ukraine, United Kingdom","Democracy, Promotion of democratic values and education for democratic citizenship, Education and Culture, Cultural diversity, Cultural policies, Education for Democratic Citizenship, Heritage, Intercultural Dialogue, Languages, Religion, Human rights, Children's rights, Promotion and defence of Human Rights, Media and Communication, Access to information, Freedom of expression, Social Cohension, Children, Students, Sport, Dopping, Spectator violence, Youth, Youth participation, Youth policy","2001"
"UNISCAPE - European Network of Universities for the implementation of the European Landscape Convention","UNISCAPE","UNISCAPE - Réseau européen d’universités pour la mise en œuvre de la Convention européenne du paysage","UNISCAPE","Villa medicea di Careggi, Viale G. Pieraccini, 15","50139","Firenze","Italy","+39 055 422 15 35","+39 055 448 65 11","www.uniscape.eu","info@uniscape.eu","Member fees, Private donations","Association","Carlo","Magnani","","Bas","Pedroli","","2008","2","50","English","","Democracy, Social Cohesion and Global Challenges, Education and Culture","Belgium, Spain, France, Ireland, Italy, Netherlands, Portugal, Slovenia, Slovakia, Sweden","International Co-operation, Education and Culture, Environment and sustanable development","2010"
